revision,datetime,creator,display_name,status
/en-US/kb/what-mozilla-maintenance-service/revision/103551,2015-09-02T00:45:17-07:00,/en-US/user/AliceWyman/,AliceWyman,unreviewed
/en-US/kb/what-mozilla-maintenance-service/revision/94062,2015-05-06T05:49:10-07:00,/en-US/user/ideato/,ideato,approved
/en-US/kb/what-mozilla-maintenance-service/revision/68225,2014-07-18T15:11:30-07:00,/en-US/user/Swarnava/,Swarnava Sengupta,approved
/en-US/kb/what-mozilla-maintenance-service/revision/66528,2014-06-29T11:03:34-07:00,/en-US/user/heyjoni/,Joni,approved
/en-US/kb/what-mozilla-maintenance-service/revision/62874,2014-05-02T23:53:37-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/what-mozilla-maintenance-service/revision/62819,2014-05-02T10:58:02-07:00,/en-US/user/bugcon/,bugcon,approved
/en-US/kb/what-mozilla-maintenance-service/revision/26429,2012-06-23T14:00:36-07:00,/en-US/user/Swarnava/,Swarnava Sengupta,approved
/en-US/kb/what-mozilla-maintenance-service/revision/23660,2012-04-26T06:00:58-07:00,/en-US/user/AliceWyman/,AliceWyman,approved
/en-US/kb/what-mozilla-maintenance-service/revision/23323,2012-04-14T01:27:15-07:00,/en-US/user/underpass/,Underpass,rejected
/en-US/kb/what-mozilla-maintenance-service/revision/23319,2012-04-13T21:24:20-07:00,/en-US/user/scoobidiver/,scoobidiver,approved
/en-US/kb/what-mozilla-maintenance-service/revision/23148,2012-04-11T03:34:04-07:00,/en-US/user/Verdi/,Michael Verdi,approved
/en-US/kb/what-mozilla-maintenance-service/revision/23127,2012-04-10T09:19:07-07:00,/en-US/user/Verdi/,Michael Verdi,approved
/en-US/kb/what-mozilla-maintenance-service/revision/23113,2012-04-10T04:15:42-07:00,/en-US/user/Verdi/,Michael Verdi,unreviewed
/en-US/kb/signatures/revision/244495,2022-05-24T01:35:24-07:00,/en-US/user/Toad-Hall/,Toad-Hall,current
/en-US/kb/signatures/revision/244492,2022-05-24T01:18:39-07:00,/en-US/user/Toad-Hall/,Toad-Hall,unreviewed
/en-US/kb/signatures/revision/169131,2018-10-23T10:41:07-07:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/signatures/revision/107696,2015-10-28T11:16:54-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/signatures/revision/107439,2015-10-26T03:23:52-07:00,/en-US/user/vesper/,vesper,unreviewed
/en-US/kb/signatures/revision/79242,2014-10-22T18:30:21-07:00,/en-US/user/user669794/,user669794,approved
/en-US/kb/signatures/revision/56808,2014-02-27T16:35:55-08:00,/en-US/user/Swarnava/,Swarnava Sengupta,approved
/en-US/kb/signatures/revision/54315,2014-02-13T16:00:00-08:00,/en-US/user/tb_migration/,Thunderbird Migration,approved
/en-US/kb/global-search/revision/253805,2022-11-21T21:54:02-08:00,/en-US/user/Mozinet/,Mozinet,current
/en-US/kb/global-search/revision/251385,2022-10-07T06:20:21-07:00,/en-US/user/wsmwk/,Wayne Mery,approved
/en-US/kb/global-search/revision/119219,2016-03-04T20:38:06-08:00,/en-US/user/buluma_michael/,Michael Buluma,approved
/en-US/kb/global-search/revision/119218,2016-03-04T20:18:43-08:00,/en-US/user/buluma_michael/,Michael Buluma,unreviewed
/en-US/kb/global-search/revision/119210,2016-03-04T19:42:02-08:00,/en-US/user/buluma_michael/,Michael Buluma,unreviewed
/en-US/kb/global-search/revision/119172,2016-03-04T02:47:37-08:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/global-search/revision/119165,2016-03-04T01:02:25-08:00,/en-US/user/Tonnes/,Tonnes,unreviewed
/en-US/kb/global-search/revision/81032,2014-11-05T06:07:26-08:00,/en-US/user/ihaake/,Ingo,approved
/en-US/kb/global-search/revision/57676,2014-03-09T06:25:59-07:00,/en-US/user/el.cameleon/,Vincent,approved
/en-US/kb/global-search/revision/57290,2014-03-05T02:19:43-08:00,/en-US/user/dyvik1001/,Dyvik Chenna,unreviewed
/en-US/kb/global-search/revision/54317,2014-02-13T16:00:00-08:00,/en-US/user/tb_migration/,Thunderbird Migration,approved
/en-US/kb/quick-filter-toolbar/revision/263049,2023-07-08T20:31:17-07:00,/en-US/user/michro/,Michele Rodaro,current
/en-US/kb/quick-filter-toolbar/revision/263042,2023-07-08T18:52:52-07:00,/en-US/user/michro/,Michele Rodaro,unreviewed
/en-US/kb/quick-filter-toolbar/revision/262975,2023-07-07T07:06:18-07:00,/en-US/user/rtanglao/,Roland Tanglao,approved
/en-US/kb/quick-filter-toolbar/revision/262560,2023-06-29T06:00:17-07:00,/en-US/user/dannycolin/,Danny Colin,approved
/en-US/kb/quick-filter-toolbar/revision/262531,2023-06-28T06:57:08-07:00,/en-US/user/dannycolin/,Danny Colin,unreviewed
/en-US/kb/quick-filter-toolbar/revision/262530,2023-06-28T06:01:55-07:00,/en-US/user/dannycolin/,Danny Colin,unreviewed
/en-US/kb/quick-filter-toolbar/revision/137431,2017-01-10T18:50:42-08:00,/en-US/user/Artist/,Artist,approved
/en-US/kb/quick-filter-toolbar/revision/135988,2016-12-02T00:37:31-08:00,/en-US/user/upwinxp/,Lan,approved
/en-US/kb/quick-filter-toolbar/revision/132127,2016-09-19T23:37:35-07:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/quick-filter-toolbar/revision/131987,2016-09-17T18:58:32-07:00,/en-US/user/upwinxp/,Lan,approved
/en-US/kb/quick-filter-toolbar/revision/131965,2016-09-17T04:42:55-07:00,/en-US/user/upwinxp/,Lan,approved
/en-US/kb/quick-filter-toolbar/revision/131929,2016-09-16T22:03:09-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/quick-filter-toolbar/revision/131928,2016-09-16T21:54:00-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/quick-filter-toolbar/revision/131927,2016-09-16T21:33:49-07:00,/en-US/user/John99/,John99,approved
/en-US/kb/quick-filter-toolbar/revision/131888,2016-09-16T02:08:32-07:00,/en-US/user/orschiro/,Robert Orzanna,approved
/en-US/kb/quick-filter-toolbar/revision/79244,2014-10-22T18:31:48-07:00,/en-US/user/user669794/,user669794,approved
/en-US/kb/quick-filter-toolbar/revision/57302,2014-03-05T02:34:23-08:00,/en-US/user/dyvik1001/,Dyvik Chenna,approved
/en-US/kb/quick-filter-toolbar/revision/54319,2014-02-13T16:00:00-08:00,/en-US/user/tb_migration/,Thunderbird Migration,approved
/en-US/kb/manual-account-configuration/revision/161761,2018-05-25T23:00:46-07:00,/en-US/user/Artist/,Artist,current
/en-US/kb/manual-account-configuration/revision/156686,2018-02-05T19:03:53-08:00,/en-US/user/TyDraniu/,TyDraniu,approved
/en-US/kb/manual-account-configuration/revision/156378,2018-01-31T04:25:24-08:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/manual-account-configuration/revision/145459,2017-09-17T00:11:52-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/manual-account-configuration/revision/135770,2016-11-27T16:34:46-08:00,/en-US/user/Zenos/,Zenos,approved
/en-US/kb/manual-account-configuration/revision/107440,2015-10-26T03:25:18-07:00,/en-US/user/vesper/,vesper,approved
/en-US/kb/manual-account-configuration/revision/84553,2014-12-13T19:05:16-08:00,/en-US/user/scootergrisen/,scootergrisen,approved
/en-US/kb/manual-account-configuration/revision/77819,2014-10-09T01:52:12-07:00,/en-US/user/upwinxp/,Lan,approved
/en-US/kb/manual-account-configuration/revision/77324,2014-10-01T22:11:54-07:00,/en-US/user/user917725/,user917725,approved
