Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/ru/kb/peremeshenie-dannyh-thunderbird-na-novyj-kompyuter,"23,718","21,776",00:06:07,"19,245",5.95%,78.41%,$0.00
/pt-BR/kb/filelink-para-anexos-grandes,"23,456","20,393",00:05:52,"20,215",30.77%,85.99%,$0.00
/de/kb/neu-thunderbird-60?locale=de&version=60.9.1&channel=release&os=WINNT&buildid=20191031083309,"23,264","19,792",00:05:24,"18,876",18.37%,80.99%,$0.00
/de/kb/thunderbird-aktualisieren,"22,937","19,227",00:02:25,"10,529",7.44%,51.67%,$0.00
/de/kb/thunderbird-import,"22,635","19,245",00:04:07,"16,744",12.23%,68.39%,$0.00
/sl/kb/thunderbird-nezelena-posta,"22,555","16,965",00:04:17,"16,704",38.76%,73.74%,$0.00
/de/kb/ansicht-des-fensterlayouts-in-thunderbird-andern,"22,522","20,745",00:05:52,"17,988",5.73%,78.15%,$0.00
/es/kb/firmas,"22,459","20,872",00:07:47,"18,293",4.93%,87.28%,$0.00
/fr/kb/deplacer-donnees-thunderbird-vers-nouvel-ordinateur,"22,407","19,420",00:05:45,"13,476",5.63%,68.60%,$0.00
/zh-TW/questions/thunderbird?mobile=0&filter=solution-provided&tagged=&show=responded,"22,343","22,343",00:03:50,"22,338",99.97%,99.97%,$0.00
/en-US/kb/introduction-to-e2e-encryption,"22,340","19,274",00:05:14,"15,827",16.47%,74.76%,$0.00
/ja/kb/updating-thunderbird,"22,276","19,266",00:02:51,"13,664",17.78%,60.52%,$0.00
/el/products/thunderbird,"22,127","11,951",00:00:26,"11,454",75.20%,47.95%,$0.00
/zh-CN/products/thunderbird,"22,091","14,190",00:00:49,"11,728",52.79%,42.83%,$0.00
/ja/kb/switch-pop-imap-account,"21,978","19,064",00:04:10,"13,580",9.08%,66.28%,$0.00
/fr/kb/profils-la-ou-thunderbird-conserve-messages-et-aut,"21,943","17,869",00:05:01,"11,183",4.25%,59.97%,$0.00
/ja/products/thunderbird/customize-controls-options-and-add-ons,"21,909","15,983",00:00:51,"1,680",71.87%,25.30%,$0.00
/zh-TW/questions/thunderbird?mobile=0&filter=solution-provided&show=responded,"21,864","21,864",00:03:41,"21,859",99.97%,99.97%,$0.00
/en-US/kb/using-multiple-profiles,"21,813","19,498",00:04:29,"8,183",6.51%,57.36%,$0.00
/pt-BR/kb/compactando-pastas,"21,807","19,639",00:03:00,"19,383",44.83%,88.83%,$0.00
/sv/products/thunderbird,"21,753","14,185",00:01:11,"12,933",38.04%,43.83%,$0.00
/en-US/products/thunderbird/privacy-and-security-settings,"21,728","16,803",00:00:53,"1,268",47.97%,18.46%,$0.00
/ja/kb/keyboard-shortcuts-tb,"21,516","18,941",00:04:25,"16,309",6.73%,78.01%,$0.00
/ja/kb/switching-thunderbird,"21,458","17,374",00:04:42,"13,495",10.15%,66.86%,$0.00
/en-US/products/thunderbird/customize-controls-options-and-add-ons,"21,396","16,699",00:01:09,"1,221",56.45%,22.11%,$0.00
/en-US/kb/openpgp-thunderbird-howto-and-faq,"21,095","18,534",00:04:49,"13,448",8.28%,70.14%,$0.00
/el/kb/thunderbird-kai-anepi8ymhta-mhnymata-spam,"20,923","16,697",00:04:37,"16,576",40.17%,78.57%,$0.00
/it/kb/salvare-password-thunderbird,"20,902","19,262",00:07:28,"16,623",3.94%,84.53%,$0.00
/de/kb/verteilerlisten-erstellen-und-verwenden,"20,670","18,666",00:06:45,"12,847",4.45%,82.09%,$0.00
/en-US/kb/ignore-threads,"20,504","17,387",00:03:16,"12,896",12.41%,69.41%,$0.00
/en-US/kb/thunderbird-telemetry,"20,252","18,784",00:06:41,"18,544",5.07%,89.12%,$0.00
/en-US/kb/how-create-and-use-mailing-lists-thunderbird,"20,096","17,915",00:05:09,"9,486",6.14%,68.20%,$0.00
/it/kb/thunderbird-gmail,"20,087","15,241",00:04:18,"12,274",5.39%,60.66%,$0.00
/fr/kb/comment-creer-et-utiliser-des-listes-de-diffusion,"19,987","18,152",00:06:22,"13,030",8.95%,83.01%,$0.00
/en-US/kb/new-thunderbird-60?locale=en-US&version=60.9.1&channel=release&os=WINNT&buildid=20191031083309,"19,855","17,270",00:04:19,"16,112",18.18%,81.10%,$0.00
/fr/kb/contenu-distant-dans-les-messages,"19,821","15,847",00:05:44,"14,646",8.50%,74.38%,$0.00
/it/kb/firme,"19,709","18,087",00:07:55,"15,933",4.40%,86.27%,$0.00
/en-US/kb/what-winmaildat-attachment,"19,544","17,802",00:04:33,"16,935",9.98%,86.74%,$0.00
/ja/kb/automatic-account-configuration,"19,243","16,381",00:02:52,"2,009",10.27%,42.84%,$0.00
/it/products/thunderbird/emails-thunderbird/set-up-email-thunderbird,"19,194","14,602",00:01:20,"12,427",46.73%,41.62%,$0.00
/ja/products/thunderbird/privacy-and-security-settings,"19,185","15,311",00:00:56,"1,788",57.69%,25.47%,$0.00
/en-US/kb/switching-thunderbird,"19,093","15,325",00:04:20,"9,945",6.61%,56.43%,$0.00
/de/kb/Nachrichten-Filter_Regeln_organisieren,"18,918","17,046",00:04:53,"12,336",4.73%,77.65%,$0.00
/en-US/kb/keyboard-shortcuts-thunderbird,"18,728","16,969",00:04:25,"12,298",6.45%,71.68%,$0.00
/en-US/kb/installing-addon-thunderbird,"18,714","16,158",00:03:23,"6,404",9.79%,57.40%,$0.00
/fr/kb/classer-vos-messages-en-utilisant-des-filtres,"18,642","17,475",00:05:28,"14,871",18.07%,85.70%,$0.00
/ru/products/thunderbird/emails-thunderbird/set-up-email-thunderbird,"18,626","15,211",00:01:17,"12,750",49.33%,43.76%,$0.00
/de/kb/manuell-ein-konto-konfigurieren,"18,546","16,344",00:03:37,"7,361",6.49%,59.77%,$0.00
/ja/kb/using-multiple-profiles,"18,443","16,118",00:04:52,"9,927",9.98%,66.18%,$0.00
/de/products/thunderbird/tips-and-tricks,"18,442","15,233",00:01:06,882,64.19%,26.11%,$0.00
/sk/products/thunderbird,"18,439","12,711",00:00:58,"12,098",73.62%,60.56%,$0.00
/en-US/products/thunderbird/tips-and-tricks,"18,423","15,226",00:01:12,"2,281",67.11%,27.74%,$0.00
/en-US/kb/archived-messages,"18,294","16,653",00:04:51,"9,710",6.22%,64.69%,$0.00
/en-US/kb/using-lightning-google-calendar,"18,288","14,324",00:04:33,"11,098",7.48%,63.82%,$0.00
/tr/products/thunderbird,"18,259","11,192",00:00:33,"10,654",71.05%,54.94%,$0.00
/de/kb/archivierte-nachrichten,"18,237","16,566",00:05:30,"10,276",4.25%,73.84%,$0.00
/en-US/kb/switch-pop-imap-account,"18,071","16,091",00:04:31,"9,134",5.57%,60.88%,$0.00
/en-US/kb/installing-thunderbird-on-mac,"18,068","15,234",00:03:56,"13,581",16.31%,72.76%,$0.00
/de/kb/der-unterschied-zwischen-imap-und-pop3,"17,796","15,927",00:02:52,"3,373",9.01%,45.29%,$0.00
/fi/products/thunderbird,"17,767","11,202",00:01:06,"10,293",47.89%,42.14%,$0.00
/fr/kb/problemes-reception-messages,"17,632","14,890",00:04:51,"6,672",5.16%,60.98%,$0.00
/da/products/thunderbird,"17,623","11,949",00:01:22,"10,694",32.49%,39.99%,$0.00
/en-US/products/thunderbird/contacts-thunderbird,"17,364","13,339",00:00:52,"1,325",43.09%,21.19%,$0.00
/de/products/thunderbird/privacy-and-security-settings,"17,009","13,685",00:01:02,"1,307",63.09%,23.90%,$0.00
/nl/kb/thunderbird-installeren-windows,"16,662","12,413",00:02:52,"10,431",13.43%,58.54%,$0.00
/fr/kb/comment-bloquer-un-expediteur,"16,536","14,505",00:04:48,"9,778",4.37%,76.39%,$0.00
/fr/kb/configuration-automatique-de-compte,"16,426","14,095",00:03:20,"5,013",7.20%,51.39%,$0.00
/de/kb/umstellung-pop-zu-imap-konto,"16,305","14,505",00:04:48,"8,448",4.48%,67.40%,$0.00
/fr/kb/configurer-un-compte-manuellement,"16,258","14,352",00:03:35,"7,634",5.75%,57.10%,$0.00
/en-US/kb/new-email-address,"16,225","13,654",00:02:51,"11,082",11.06%,61.73%,$0.00
/fr/kb/faq-modules-complementaires-thunderbird,"16,207","13,896",00:04:28,"11,867",31.02%,74.47%,$0.00
/de/products/thunderbird/contacts-thunderbird,"16,122","12,236",00:00:52,"1,152",36.32%,25.01%,$0.00
/fr/products/thunderbird/tips-and-tricks,"15,989","13,406",00:01:02,615,46.10%,24.10%,$0.00
/de/kb/themen-ignorieren,"15,949","13,126",00:05:23,"12,307",13.18%,75.53%,$0.00
/it/kb/profili-thunderbird,"15,918","13,603",00:04:32,"7,953",5.25%,60.59%,$0.00
/es/kb/instalar-thunderbird-en-windows,"15,869","12,029",00:02:27,"10,184",14.53%,62.49%,$0.00
/en-US/kb/difference-between-imap-and-pop3,"15,606","14,232",00:02:46,"3,138",7.39%,43.94%,$0.00
/en-US/kb/config-editor,"15,532","14,216",00:04:18,"5,490",8.61%,55.95%,$0.00
/de/kb/senden-und-empfangen-von-e-mails-mit-thunderbird,"15,516","13,666",00:04:11,"9,678",7.00%,64.62%,$0.00
/nl/products/thunderbird/emails-thunderbird,"15,443","11,946",00:00:58,"1,229",42.25%,20.37%,$0.00
/zh-TW/kb/thunderbird-and-junk-spam-messages,"15,417","11,277",00:01:58,"11,251",52.27%,72.25%,$0.00
/de/kb/themenbaume-thunderbird-unterhaltungen-gruppieren,"15,411","14,242",00:05:40,"10,642",3.35%,83.66%,$0.00
/en-US/kb/display-thunderbird-menus-and-toolbar,"15,349","13,505",00:04:10,"6,840",6.04%,55.38%,$0.00
/pt-PT/kb/thunderbird-e-mensagens-de-lixo-eletronico-correio,"15,131","11,260",00:03:49,"11,176",50.11%,73.42%,$0.00
/ru/kb/upravlenie-vashimi-soobsheniyami-s-pomoshyu-filtro,"14,934","13,997",00:05:48,"12,375",6.77%,83.63%,$0.00
/en-US/kb/thunderbird-help-setup-account-e2ee,"14,703","12,795",00:05:37,"11,175",6.37%,75.87%,$0.00
