Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/en-US/kb/password-manager-remember-delete-edit-logins,"344,202","299,354",00:02:05,"246,804",18.41%,65.75%,$0.00
/en-US/kb/update-firefox-latest-release?entrypoint=mozilla.org-whatsnew114,"340,225","272,821",00:02:01,"272,775",11.80%,73.82%,$0.00
/de/kb/fehlermeldung-sec_error_unknown_issuer,"337,163","306,878",00:03:51,"294,652",46.31%,86.76%,$0.00
/de/kb/firefox-symbolleisten-und-schaltflaechen-anpassen,"334,778","270,381",00:03:02,"233,304",24.85%,68.11%,$0.00
/id/kb/deteksi-portal-kaptif,"330,774","305,335",00:06:33,"304,772",27.45%,91.85%,$0.00
/it/kb/avviso-di-password-non-sicura-firefox,"326,972","282,127",00:02:32,"281,086",61.52%,85.27%,$0.00
/ja/kb/secure-connection-failed-error-message,"318,258","266,656",00:03:51,"262,180",41.73%,80.10%,$0.00
/pl/kb/wykrywanie-portalu-przechwytujacego-firefox,"311,862","299,167",00:06:42,"298,831",52.68%,95.08%,$0.00
/en-US/kb/update-firefox-latest-version?redirect=no,"306,486","246,585",00:00:25,"15,690",19.84%,20.81%,$0.00
/en-US/kb/enable-drm,"306,232","281,335",00:03:56,"258,693",14.72%,79.84%,$0.00
/pl/products/thunderbird,"305,733","197,615",00:00:40,"189,683",75.33%,57.42%,$0.00
/en-US/kb/profiles-where-firefox-stores-user-data,"305,676","261,839",00:03:24,"114,574",6.31%,52.56%,$0.00
/en-US/kb/about-config-editor-firefox,"302,400","229,479",00:02:04,"147,644",16.38%,52.57%,$0.00
/en-US/kb/storage?redirectslug=permission-store-data&redirectlocale=en-US,"298,646","281,385",00:03:57,"267,378",23.77%,86.58%,$0.00
/en-US/kb/profile-manager-create-remove-switch-firefox-profiles,"294,508","236,653",00:02:53,"163,341",8.14%,59.76%,$0.00
